"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 13:55:39 GMT 2025","Thu Aug 14 13:56:01 GMT 2025","21535","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualUpdation","individualUpdation",""
"passed","Thu Aug 14 13:57:14 GMT 2025","Thu Aug 14 13:57:31 GMT 2025","16906","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"passed","Thu Aug 14 13:53:28 GMT 2025","Thu Aug 14 13:53:52 GMT 2025","24484","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"passed","Thu Aug 14 14:00:13 GMT 2025","Thu Aug 14 14:00:54 GMT 2025","41042","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserDeletion","registrationPortalUserDeletion",""
"passed","Thu Aug 14 13:53:48 GMT 2025","Thu Aug 14 13:53:58 GMT 2025","10201","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Thu Aug 14 13:58:09 GMT 2025","Thu Aug 14 13:58:34 GMT 2025","25177","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","revokePortalAccess","revokePortalAccess",""
"passed","Thu Aug 14 13:54:58 GMT 2025","Thu Aug 14 13:55:17 GMT 2025","18855","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Thu Aug 14 13:54:42 GMT 2025","Thu Aug 14 13:55:01 GMT 2025","18985","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"passed","Thu Aug 14 13:59:40 GMT 2025","Thu Aug 14 14:00:01 GMT 2025","20667","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"passed","Thu Aug 14 13:55:24 GMT 2025","Thu Aug 14 13:55:46 GMT 2025","21458","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserCreation","registrationPortalUserCreation",""
"passed","Thu Aug 14 13:58:43 GMT 2025","Thu Aug 14 13:59:03 GMT 2025","19614","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
